stedelijk,kwel,2005,7,1,0.000000
stedelijk,kwel,2005,8,1,0.000000
stedelijk,kwel,2005,9,1,0.000000
stedelijk,kwel,2005,10,1,0.000000
stedelijk,kwel,2005,11,1,0.000000
stedelijk,kwel,2005,12,1,0.000000
stedelijk,kwel,2006,1,1,0.000000
stedelijk,kwel,2006,2,1,0.000000
stedelijk,kwel,2006,3,1,0.000000
stedelijk,kwel,2006,4,1,0.000000
stedelijk,kwel,2006,5,1,0.000000
stedelijk,kwel,2006,6,1,0.000000
stedelijk,kwel,2006,7,1,0.000000
stedelijk,kwel,2006,8,1,0.000000
stedelijk,kwel,2006,9,1,0.000000
stedelijk,kwel,2006,10,1,0.000000
stedelijk,kwel,2006,11,1,0.000000
stedelijk,kwel,2006,12,1,0.000000
stedelijk,kwel,2007,1,1,0.000000
stedelijk,kwel,2007,2,1,0.000000
stedelijk,kwel,2007,3,1,0.000000
stedelijk,kwel,2007,4,1,0.000000
stedelijk,kwel,2007,5,1,0.000000
stedelijk,kwel,2007,6,1,0.000000
stedelijk,kwel,2007,7,1,0.000000
stedelijk,kwel,2007,8,1,0.000000
stedelijk,kwel,2007,9,1,0.000000
stedelijk,kwel,2007,10,1,0.000000
stedelijk,kwel,2007,11,1,0.000000
stedelijk,kwel,2007,12,1,0.000000
stedelijk,kwel,2008,1,1,0.000000
stedelijk,kwel,2008,2,1,0.000000
stedelijk,kwel,2008,3,1,0.000000
stedelijk,kwel,2008,4,1,0.000000
stedelijk,kwel,2008,5,1,0.000000
stedelijk,kwel,2008,6,1,0.000000
stedelijk,kwel,2008,7,1,0.000000
stedelijk,kwel,2008,8,1,0.000000
stedelijk,kwel,2008,9,1,0.000000
stedelijk,kwel,2008,10,1,0.000000
stedelijk,kwel,2008,11,1,0.000000
stedelijk,kwel,2008,12,1,0.000000
stedelijk,kwel,2009,1,1,0.000000
stedelijk,kwel,2009,2,1,0.000000
stedelijk,kwel,2009,3,1,0.000000
stedelijk,kwel,2009,4,1,0.000000
stedelijk,kwel,2009,5,1,0.000000
stedelijk,kwel,2009,6,1,0.000000
stedelijk,kwel,2009,7,1,0.000000
stedelijk,kwel,2009,8,1,0.000000
stedelijk,kwel,2009,9,1,0.000000
stedelijk,kwel,2009,10,1,0.000000
stedelijk,kwel,2009,11,1,0.000000
stedelijk,kwel,2009,12,1,0.000000
stedelijk,kwel,2010,1,1,0.000000
stedelijk,kwel,2010,2,1,0.000000
stedelijk,kwel,2010,3,1,0.000000
stedelijk,kwel,2010,4,1,0.000000
stedelijk,kwel,2010,5,1,0.000000
stedelijk,kwel,2010,6,1,0.000000
stedelijk,afstroming,1996,1,1,-0.000000
stedelijk,afstroming,1996,2,1,-0.000000
stedelijk,afstroming,1996,3,1,-0.000000
stedelijk,afstroming,1996,4,1,-0.000000
stedelijk,afstroming,1996,5,1,-0.000000
stedelijk,afstroming,1996,6,1,-0.000000
stedelijk,afstroming,1996,7,1,-0.000000
stedelijk,afstroming,1996,8,1,-0.000000
stedelijk,afstroming,1996,9,1,-0.000000
stedelijk,afstroming,1996,10,1,-0.000000
stedelijk,afstroming,1996,11,1,-0.000000
stedelijk,afstroming,1996,12,1,-0.000000
stedelijk,afstroming,1997,1,1,-0.000000
stedelijk,afstroming,1997,2,1,-0.000000
stedelijk,afstroming,1997,3,1,-0.000000
stedelijk,afstroming,1997,4,1,-0.000000
stedelijk,afstroming,1997,5,1,-0.000000
stedelijk,afstroming,1997,6,1,-0.000000
stedelijk,afstroming,1997,7,1,-0.000000
stedelijk,afstroming,1997,8,1,-0.000000
stedelijk,afstroming,1997,9,1,-0.000000
stedelijk,afstroming,1997,10,1,-0.000000
stedelijk,afstroming,1997,11,1,-0.000000
stedelijk,afstroming,1997,12,1,-0.000000
stedelijk,afstroming,1998,1,1,-0.000000
stedelijk,afstroming,1998,2,1,-0.000000
stedelijk,afstroming,1998,3,1,-0.000000
stedelijk,afstroming,1998,4,1,-0.000000
stedelijk,afstroming,1998,5,1,-0.000000
stedelijk,afstroming,1998,6,1,-0.000000
stedelijk,afstroming,1998,7,1,-0.000000
stedelijk,afstroming,1998,8,1,-0.000000
stedelijk,afstroming,1998,9,1,-0.000000
stedelijk,afstroming,1998,10,1,-0.000000
stedelijk,afstroming,1998,11,1,-0.000000
stedelijk,afstroming,1998,12,1,-0.000000
stedelijk,afstroming,1999,1,1,-0.000000
stedelijk,afstroming,1999,2,1,-0.000000
stedelijk,afstroming,1999,3,1,-0.000000
stedelijk,afstroming,1999,4,1,-0.000000
stedelijk,afstroming,1999,5,1,-0.000000
stedelijk,afstroming,1999,6,1,-0.000000
stedelijk,afstroming,1999,7,1,-0.000000
stedelijk,afstroming,1999,8,1,-0.000000
stedelijk,afstroming,1999,9,1,-0.000000
stedelijk,afstroming,1999,10,1,-0.000000
stedelijk,afstroming,1999,11,1,-0.000000
stedelijk,afstroming,1999,12,1,-0.000000
stedelijk,afstroming,2000,1,1,-0.000000
stedelijk,afstroming,2000,2,1,-0.000000
stedelijk,afstroming,2000,3,1,-0.000000
stedelijk,afstroming,2000,4,1,-0.000000
stedelijk,afstroming,2000,5,1,-0.000000
stedelijk,afstroming,2000,6,1,-0.000000
stedelijk,afstroming,2000,7,1,-0.000000
stedelijk,afstroming,2000,8,1,-0.000000
stedelijk,afstroming,2000,9,1,-0.000000
stedelijk,afstroming,2000,10,1,-0.000000
stedelijk,afstroming,2000,11,1,-0.000000
stedelijk,afstroming,2000,12,1,-0.000000
stedelijk,afstroming,2001,1,1,-0.000000
stedelijk,afstroming,2001,2,1,-0.000000
stedelijk,afstroming,2001,3,1,-0.000000
stedelijk,afstroming,2001,4,1,-0.000000
stedelijk,afstroming,2001,5,1,-0.000000
stedelijk,afstroming,2001,6,1,-0.000000
stedelijk,afstroming,2001,7,1,-0.000000
stedelijk,afstroming,2001,8,1,-0.000000
stedelijk,afstroming,2001,9,1,-0.000000
stedelijk,afstroming,2001,10,1,-0.000000
stedelijk,afstroming,2001,11,1,-0.000000
stedelijk,afstroming,2001,12,1,-0.000000
stedelijk,afstroming,2002,1,1,-0.000000
stedelijk,afstroming,2002,2,1,-0.000000
stedelijk,afstroming,2002,3,1,-0.000000
stedelijk,afstroming,2002,4,1,-0.000000
stedelijk,afstroming,2002,5,1,-0.000000
stedelijk,afstroming,2002,6,1,-0.000000
stedelijk,afstroming,2002,7,1,-0.000000
stedelijk,afstroming,2002,8,1,-0.000000
stedelijk,afstroming,2002,9,1,-0.000000
stedelijk,afstroming,2002,10,1,-0.000000
stedelijk,afstroming,2002,11,1,-0.000000
stedelijk,afstroming,2002,12,1,-0.000000
stedelijk,afstroming,2003,1,1,-0.000000
stedelijk,afstroming,2003,2,1,-0.000000
stedelijk,afstroming,2003,3,1,-0.000000
stedelijk,afstroming,2003,4,1,-0.000000
stedelijk,afstroming,2003,5,1,-0.000000
stedelijk,afstroming,2003,6,1,-0.000000
stedelijk,afstroming,2003,7,1,-0.000000
stedelijk,afstroming,2003,8,1,-0.000000
stedelijk,afstroming,2003,9,1,-0.000000
stedelijk,afstroming,2003,10,1,-0.000000
stedelijk,afstroming,2003,11,1,-0.000000
stedelijk,afstroming,2003,12,1,-0.000000
stedelijk,afstroming,2004,1,1,-0.000000
stedelijk,afstroming,2004,2,1,-0.000000
stedelijk,afstroming,2004,3,1,-0.000000
stedelijk,afstroming,2004,4,1,-0.000000
stedelijk,afstroming,2004,5,1,-0.000000
stedelijk,afstroming,2004,6,1,-0.000000
stedelijk,afstroming,2004,7,1,-0.000000
stedelijk,afstroming,2004,8,1,-0.000000
stedelijk,afstroming,2004,9,1,-0.000000
stedelijk,afstroming,2004,10,1,-0.000000
stedelijk,afstroming,2004,11,1,-0.000000
stedelijk,afstroming,2004,12,1,-0.000000
stedelijk,afstroming,2005,1,1,-0.000000
stedelijk,afstroming,2005,2,1,-0.000000
stedelijk,afstroming,2005,3,1,-0.000000
stedelijk,afstroming,2005,4,1,-0.000000
stedelijk,afstroming,2005,5,1,-0.000000
stedelijk,afstroming,2005,6,1,-0.000000
stedelijk,afstroming,2005,7,1,-0.000000
stedelijk,afstroming,2005,8,1,-0.000000
stedelijk,afstroming,2005,9,1,-0.000000
stedelijk,afstroming,2005,10,1,-0.000000
stedelijk,afstroming,2005,11,1,-0.000000
stedelijk,afstroming,2005,12,1,-0.000000
stedelijk,afstroming,2006,1,1,-0.000000
stedelijk,afstroming,2006,2,1,-0.000000
stedelijk,afstroming,2006,3,1,-0.000000
stedelijk,afstroming,2006,4,1,-0.000000
stedelijk,afstroming,2006,5,1,-0.000000
stedelijk,afstroming,2006,6,1,-0.000000
stedelijk,afstroming,2006,7,1,-0.000000
stedelijk,afstroming,2006,8,1,-0.000000
stedelijk,afstroming,2006,9,1,-0.000000
stedelijk,afstroming,2006,10,1,-0.000000
stedelijk,afstroming,2006,11,1,-0.000000
stedelijk,afstroming,2006,12,1,-0.000000
stedelijk,afstroming,2007,1,1,-0.000000
stedelijk,afstroming,2007,2,1,-0.000000
stedelijk,afstroming,2007,3,1,-0.000000
stedelijk,afstroming,2007,4,1,-0.000000
stedelijk,afstroming,2007,5,1,-0.000000
stedelijk,afstroming,2007,6,1,-0.000000
stedelijk,afstroming,2007,7,1,-0.000000
stedelijk,afstroming,2007,8,1,-0.000000
stedelijk,afstroming,2007,9,1,-0.000000
stedelijk,afstroming,2007,10,1,-0.000000
stedelijk,afstroming,2007,11,1,-0.000000
stedelijk,afstroming,2007,12,1,-0.000000
stedelijk,afstroming,2008,1,1,-0.000000
stedelijk,afstroming,2008,2,1,-0.000000
stedelijk,afstroming,2008,3,1,-0.000000
stedelijk,afstroming,2008,4,1,-0.000000
stedelijk,afstroming,2008,5,1,-0.000000
stedelijk,afstroming,2008,6,1,-0.000000
stedelijk,afstroming,2008,7,1,-0.000000
stedelijk,afstroming,2008,8,1,-0.000000
stedelijk,afstroming,2008,9,1,-0.000000
stedelijk,afstroming,2008,10,1,-0.000000
stedelijk,afstroming,2008,11,1,-0.000000
stedelijk,afstroming,2008,12,1,-0.000000
stedelijk,afstroming,2009,1,1,-0.000000
stedelijk,afstroming,2009,2,1,-0.000000
stedelijk,afstroming,2009,3,1,-0.000000
stedelijk,afstroming,2009,4,1,-0.000000
stedelijk,afstroming,2009,5,1,-0.000000
stedelijk,afstroming,2009,6,1,-0.000000
stedelijk,afstroming,2009,7,1,-0.000000
stedelijk,afstroming,2009,8,1,-0.000000
stedelijk,afstroming,2009,9,1,-0.000000
stedelijk,afstroming,2009,10,1,-0.000000
stedelijk,afstroming,2009,11,1,-0.000000
stedelijk,afstroming,2009,12,1,-0.000000
stedelijk,afstroming,2010,1,1,-0.000000
stedelijk,afstroming,2010,2,1,-0.000000
stedelijk,afstroming,2010,3,1,-0.000000
stedelijk,afstroming,2010,4,1,-0.000000
stedelijk,afstroming,2010,5,1,-0.000000
stedelijk,afstroming,2010,6,1,-0.000000
stedelijk,drainage,1996,1,1,0.000000
stedelijk,drainage,1996,2,1,0.000000
stedelijk,drainage,1996,3,1,0.000000
stedelijk,drainage,1996,4,1,0.000000
stedelijk,drainage,1996,5,1,0.000000
stedelijk,drainage,1996,6,1,0.000000
stedelijk,drainage,1996,7,1,0.000000
stedelijk,drainage,1996,8,1,0.000000
stedelijk,drainage,1996,9,1,0.000000
stedelijk,drainage,1996,10,1,0.000000
stedelijk,drainage,1996,11,1,0.000000
stedelijk,drainage,1996,12,1,0.000000
stedelijk,drainage,1997,1,1,0.000000
stedelijk,drainage,1997,2,1,0.000000
stedelijk,drainage,1997,3,1,0.000000
stedelijk,drainage,1997,4,1,0.000000
stedelijk,drainage,1997,5,1,0.000000
stedelijk,drainage,1997,6,1,0.000000
stedelijk,drainage,1997,7,1,0.000000
stedelijk,drainage,1997,8,1,0.000000
stedelijk,drainage,1997,9,1,0.000000
stedelijk,drainage,1997,10,1,0.000000
stedelijk,drainage,1997,11,1,0.000000
stedelijk,drainage,1997,12,1,0.000000
stedelijk,drainage,1998,1,1,0.000000
stedelijk,drainage,1998,2,1,0.000000
stedelijk,drainage,1998,3,1,0.000000
stedelijk,drainage,1998,4,1,0.000000
stedelijk,drainage,1998,5,1,0.000000
stedelijk,drainage,1998,6,1,0.000000
stedelijk,drainage,1998,7,1,0.000000
stedelijk,drainage,1998,8,1,0.000000
stedelijk,drainage,1998,9,1,0.000000
stedelijk,drainage,1998,10,1,0.000000
stedelijk,drainage,1998,11,1,0.000000
stedelijk,drainage,1998,12,1,0.000000
stedelijk,drainage,1999,1,1,0.000000
stedelijk,drainage,1999,2,1,0.000000
stedelijk,drainage,1999,3,1,0.000000
stedelijk,drainage,1999,4,1,0.000000
stedelijk,drainage,1999,5,1,0.000000
stedelijk,drainage,1999,6,1,0.000000
stedelijk,drainage,1999,7,1,0.000000
stedelijk,drainage,1999,8,1,0.000000
stedelijk,drainage,1999,9,1,0.000000
stedelijk,drainage,1999,10,1,0.000000
stedelijk,drainage,1999,11,1,0.000000
stedelijk,drainage,1999,12,1,0.000000
stedelijk,drainage,2000,1,1,0.000000
stedelijk,drainage,2000,2,1,0.000000
stedelijk,drainage,2000,3,1,0.000000
stedelijk,drainage,2000,4,1,0.000000
stedelijk,drainage,2000,5,1,0.000000
stedelijk,drainage,2000,6,1,0.000000
stedelijk,drainage,2000,7,1,0.000000
stedelijk,drainage,2000,8,1,0.000000
stedelijk,drainage,2000,9,1,0.000000
stedelijk,drainage,2000,10,1,0.000000
stedelijk,drainage,2000,11,1,0.000000
stedelijk,drainage,2000,12,1,0.000000
stedelijk,drainage,2001,1,1,0.000000
stedelijk,drainage,2001,2,1,0.000000
stedelijk,drainage,2001,3,1,0.000000
stedelijk,drainage,2001,4,1,0.000000
stedelijk,drainage,2001,5,1,0.000000
stedelijk,drainage,2001,6,1,0.000000
stedelijk,drainage,2001,7,1,0.000000
stedelijk,drainage,2001,8,1,0.000000
stedelijk,drainage,2001,9,1,0.000000
stedelijk,drainage,2001,10,1,0.000000
stedelijk,drainage,2001,11,1,0.000000
stedelijk,drainage,2001,12,1,0.000000
stedelijk,drainage,2002,1,1,0.000000
stedelijk,drainage,2002,2,1,0.000000
stedelijk,drainage,2002,3,1,0.000000
stedelijk,drainage,2002,4,1,0.000000
stedelijk,drainage,2002,5,1,0.000000
stedelijk,drainage,2002,6,1,0.000000
stedelijk,drainage,2002,7,1,0.000000
stedelijk,drainage,2002,8,1,0.000000
stedelijk,drainage,2002,9,1,0.000000
stedelijk,drainage,2002,10,1,0.000000
stedelijk,drainage,2002,11,1,0.000000
stedelijk,drainage,2002,12,1,0.000000
stedelijk,drainage,2003,1,1,0.000000
stedelijk,drainage,2003,2,1,0.000000
stedelijk,drainage,2003,3,1,0.000000
stedelijk,drainage,2003,4,1,0.000000
stedelijk,drainage,2003,5,1,0.000000
stedelijk,drainage,2003,6,1,0.000000
stedelijk,drainage,2003,7,1,0.000000
stedelijk,drainage,2003,8,1,0.000000
stedelijk,drainage,2003,9,1,0.000000
stedelijk,drainage,2003,10,1,0.000000
stedelijk,drainage,2003,11,1,0.000000
stedelijk,drainage,2003,12,1,0.000000
stedelijk,drainage,2004,1,1,0.000000
stedelijk,drainage,2004,2,1,0.000000
stedelijk,drainage,2004,3,1,0.000000
stedelijk,drainage,2004,4,1,0.000000
stedelijk,drainage,2004,5,1,0.000000
stedelijk,drainage,2004,6,1,0.000000
stedelijk,drainage,2004,7,1,0.000000
stedelijk,drainage,2004,8,1,0.000000
stedelijk,drainage,2004,9,1,0.000000
stedelijk,drainage,2004,10,1,0.000000
stedelijk,drainage,2004,11,1,0.000000
stedelijk,drainage,2004,12,1,0.000000
stedelijk,drainage,2005,1,1,0.000000
stedelijk,drainage,2005,2,1,0.000000
stedelijk,drainage,2005,3,1,0.000000
stedelijk,drainage,2005,4,1,0.000000
stedelijk,drainage,2005,5,1,0.000000
stedelijk,drainage,2005,6,1,0.000000
stedelijk,drainage,2005,7,1,0.000000
stedelijk,drainage,2005,8,1,0.000000
stedelijk,drainage,2005,9,1,0.000000
stedelijk,drainage,2005,10,1,0.000000
stedelijk,drainage,2005,11,1,0.000000
stedelijk,drainage,2005,12,1,0.000000
stedelijk,drainage,2006,1,1,0.000000
stedelijk,drainage,2006,2,1,0.000000
stedelijk,drainage,2006,3,1,0.000000
stedelijk,drainage,2006,4,1,0.000000
stedelijk,drainage,2006,5,1,0.000000
stedelijk,drainage,2006,6,1,0.000000
stedelijk,drainage,2006,7,1,0.000000
stedelijk,drainage,2006,8,1,0.000000
stedelijk,drainage,2006,9,1,0.000000
stedelijk,drainage,2006,10,1,0.000000
stedelijk,drainage,2006,11,1,0.000000
stedelijk,drainage,2006,12,1,0.000000
stedelijk,drainage,2007,1,1,0.000000
stedelijk,drainage,2007,2,1,0.000000
stedelijk,drainage,2007,3,1,0.000000
stedelijk,drainage,2007,4,1,0.000000
stedelijk,drainage,2007,5,1,0.000000
stedelijk,drainage,2007,6,1,0.000000
stedelijk,drainage,2007,7,1,0.000000
stedelijk,drainage,2007,8,1,0.000000
stedelijk,drainage,2007,9,1,0.000000
stedelijk,drainage,2007,10,1,0.000000
stedelijk,drainage,2007,11,1,0.000000
stedelijk,drainage,2007,12,1,0.000000
stedelijk,drainage,2008,1,1,0.000000
stedelijk,drainage,2008,2,1,0.000000
stedelijk,drainage,2008,3,1,0.000000
stedelijk,drainage,2008,4,1,0.000000
stedelijk,drainage,2008,5,1,0.000000
stedelijk,drainage,2008,6,1,0.000000
stedelijk,drainage,2008,7,1,0.000000
stedelijk,drainage,2008,8,1,0.000000
stedelijk,drainage,2008,9,1,0.000000
stedelijk,drainage,2008,10,1,0.000000
stedelijk,drainage,2008,11,1,0.000000
stedelijk,drainage,2008,12,1,0.000000
stedelijk,drainage,2009,1,1,0.000000
stedelijk,drainage,2009,2,1,0.000000
stedelijk,drainage,2009,3,1,0.000000
stedelijk,drainage,2009,4,1,0.000000
stedelijk,drainage,2009,5,1,0.000000
stedelijk,drainage,2009,6,1,0.000000
stedelijk,drainage,2009,7,1,0.000000
stedelijk,drainage,2009,8,1,0.000000
stedelijk,drainage,2009,9,1,0.000000
stedelijk,drainage,2009,10,1,0.000000
stedelijk,drainage,2009,11,1,0.000000
stedelijk,drainage,2009,12,1,0.000000
stedelijk,drainage,2010,1,1,0.000000
stedelijk,drainage,2010,2,1,0.000000
stedelijk,drainage,2010,3,1,0.000000
stedelijk,drainage,2010,4,1,0.000000
stedelijk,drainage,2010,5,1,0.000000
stedelijk,drainage,2010,6,1,0.000000
stedelijk,intrek,1996,1,1,0.000000
stedelijk,intrek,1996,2,1,0.000000
stedelijk,intrek,1996,3,1,0.000000
stedelijk,intrek,1996,4,1,0.000000
stedelijk,intrek,1996,5,1,0.000000
stedelijk,intrek,1996,6,1,0.000000
stedelijk,intrek,1996,7,1,0.000000
stedelijk,intrek,1996,8,1,0.000000
stedelijk,intrek,1996,9,1,0.000000
stedelijk,intrek,1996,10,1,0.000000
stedelijk,intrek,1996,11,1,0.000000
stedelijk,intrek,1996,12,1,0.000000
stedelijk,intrek,1997,1,1,0.000000
stedelijk,intrek,1997,2,1,0.000000
stedelijk,intrek,1997,3,1,0.000000
stedelijk,intrek,1997,4,1,0.000000
stedelijk,intrek,1997,5,1,0.000000
stedelijk,intrek,1997,6,1,0.000000
stedelijk,intrek,1997,7,1,0.000000
stedelijk,intrek,1997,8,1,0.000000
stedelijk,intrek,1997,9,1,0.000000
stedelijk,intrek,1997,10,1,0.000000
stedelijk,intrek,1997,11,1,0.000000
stedelijk,intrek,1997,12,1,0.000000
stedelijk,intrek,1998,1,1,0.000000
stedelijk,intrek,1998,2,1,0.000000
stedelijk,intrek,1998,3,1,0.000000
stedelijk,intrek,1998,4,1,0.000000
stedelijk,intrek,1998,5,1,0.000000
stedelijk,intrek,1998,6,1,0.000000
stedelijk,intrek,1998,7,1,0.000000
stedelijk,intrek,1998,8,1,0.000000
stedelijk,intrek,1998,9,1,0.000000
stedelijk,intrek,1998,10,1,0.000000
stedelijk,intrek,1998,11,1,0.000000
stedelijk,intrek,1998,12,1,0.000000
stedelijk,intrek,1999,1,1,0.000000
stedelijk,intrek,1999,2,1,0.000000
stedelijk,intrek,1999,3,1,0.000000
stedelijk,intrek,1999,4,1,0.000000
stedelijk,intrek,1999,5,1,0.000000
stedelijk,intrek,1999,6,1,0.000000
stedelijk,intrek,1999,7,1,0.000000
stedelijk,intrek,1999,8,1,0.000000
stedelijk,intrek,1999,9,1,0.000000
stedelijk,intrek,1999,10,1,0.000000
stedelijk,intrek,1999,11,1,0.000000
stedelijk,intrek,1999,12,1,0.000000
stedelijk,intrek,2000,1,1,0.000000
stedelijk,intrek,2000,2,1,0.000000
stedelijk,intrek,2000,3,1,0.000000
stedelijk,intrek,2000,4,1,0.000000
stedelijk,intrek,2000,5,1,0.000000
stedelijk,intrek,2000,6,1,0.000000
stedelijk,intrek,2000,7,1,0.000000
stedelijk,intrek,2000,8,1,0.000000
stedelijk,intrek,2000,9,1,0.000000
stedelijk,intrek,2000,10,1,0.000000
stedelijk,intrek,2000,11,1,0.000000
stedelijk,intrek,2000,12,1,0.000000
stedelijk,intrek,2001,1,1,0.000000
stedelijk,intrek,2001,2,1,0.000000
stedelijk,intrek,2001,3,1,0.000000
stedelijk,intrek,2001,4,1,0.000000
stedelijk,intrek,2001,5,1,0.000000
stedelijk,intrek,2001,6,1,0.000000
stedelijk,intrek,2001,7,1,0.000000
stedelijk,intrek,2001,8,1,0.000000
stedelijk,intrek,2001,9,1,0.000000
stedelijk,intrek,2001,10,1,0.000000
stedelijk,intrek,2001,11,1,0.000000
stedelijk,intrek,2001,12,1,0.000000
stedelijk,intrek,2002,1,1,0.000000
stedelijk,intrek,2002,2,1,0.000000
stedelijk,intrek,2002,3,1,0.000000
stedelijk,intrek,2002,4,1,0.000000
stedelijk,intrek,2002,5,1,0.000000
stedelijk,intrek,2002,6,1,0.000000
stedelijk,intrek,2002,7,1,0.000000
stedelijk,intrek,2002,8,1,0.000000
stedelijk,intrek,2002,9,1,0.000000
stedelijk,intrek,2002,10,1,0.000000
stedelijk,intrek,2002,11,1,0.000000
stedelijk,intrek,2002,12,1,0.000000
stedelijk,intrek,2003,1,1,0.000000
stedelijk,intrek,2003,2,1,0.000000
stedelijk,intrek,2003,3,1,0.000000
stedelijk,intrek,2003,4,1,0.000000
stedelijk,intrek,2003,5,1,0.000000
stedelijk,intrek,2003,6,1,0.000000
stedelijk,intrek,2003,7,1,0.000000
stedelijk,intrek,2003,8,1,0.000000
stedelijk,intrek,2003,9,1,0.000000
stedelijk,intrek,2003,10,1,0.000000
stedelijk,intrek,2003,11,1,0.000000
stedelijk,intrek,2003,12,1,0.000000
stedelijk,intrek,2004,1,1,0.000000
stedelijk,intrek,2004,2,1,0.000000
